Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Source Ventures,https://sourceventures.vc/,"71 rue de la Fraternité, 93100 Montreuil, France","usa,austria,belgium,denmark,finland,france,germany,ireland,luxembourg,netherlands,portugal,spain,sweden,switzerland,uk","2. Prototype,3. Early Revenue","We invest in tech startups (50 000€ or more per deal) and add value by advising entrepreneurs on their Product, Tech and Marketing. Through our sparring partner approach, we help tech startups walk the narrow path towards scalability. Feel free to reach out and let's start a conversation.",VC,$50000,$200000
South Central Ventures,https://sc-ventures.com/,"Belgrade, Serbia; Zagreb, Croatia; Skopje, North Macedonia","albania,bosnia-h,croatia,montenegro,north macedonia,serbia","3. Early Revenue,4. Scaling",We invest in CEE B2B tech companies in seed and Series A stage.,VC,$500000,$5000000
Space Capital,https://www.spacecapital.com/,"54 W 21st Street, Suite 508, New York, NY 10010","usa,canada,switzerland,uk,singapore,germany,australia,finland","3. Early Revenue,4. Scaling,5. Growth","We invest in the space economy, specifically focused on unlocking the value in space technology stacks such as GPS, geospatial intelligence, and communications. We are actively investing out of our third fund and manage over $70 million in assets. Our sector focus enables us to be a true partner to our portfolio companies and unlocks significant value far in excess of our investment capital. The companies we invest in are shaping the future. 

The history of GPS provides us with a framework for understanding how space-based technology has become a platform for innovation on a global scale. Specifically, the development of technology layers on top of space-based infrastructure and the distribution of data for mass adoption, which help unlock thousands of unique applications.",VC,$750000,$2000000
Spacecadet Ventures,https://spacecadet.ventures/,USA,"usa,canada,mexico,argentina,colombia,india,uk,uae,germany,australia,brazil","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in forward-thinking founders who build companies at the intersection of emerging cultural & technology trends.,VC,$100000,$500000
Sparking Capital,https://www.sparkingcapital.com/,"15 Charles de Gaule Square, Bucharest,Romania",romania,"3. Early Revenue,1. Idea or Patent,2. Prototype",We invest in Romanian early stage startups.,VC,$50000,$300000
Speciale Invest,https://www.specialeinvest.com/,"3rd Floor, Sobha Pearl 1, Commissariat Road, Ashok Nagar, Bengaluru, Karnataka 560025, Bangalore, Karnataka 560025, IN","india,usa","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Deep tech, B2B Software, and Industrial hardware-based startups at the pre-seed and seed stage. ",VC,$100000,$500000
Speedinvest,https://speedinvest.com/,"Praterstraße 1, 3rd Floor, Wien, Wien 1020, AT","usa,austria,belgium,bulgaria,croatia,czech republic,denmark,estonia,finland,france,germany,greece,hungary,iceland,ireland,italy,latvia,liechtenstein,lithuania,luxembourg,netherlands,norway,poland,romania,slovakia,slovenia,sweden,switzerland,uk,ukraine,israel,turkey","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in Europe's most innovative early-stage technology startups (pre-Seed, Seed) across Climate Tech, Consumer Tech, Deep Tech, Fintech, Health, Industrial Tech, Marketplaces, SaaS, Web 3 / Crypto.",VC,$200000,$3000000
SpeedUp Venture Capital Group,https://speedupgroup.com/en/,"Saint Martin Street 11/8, Poznan, PL","czech republic,estonia,hungary,latvia,lithuania,poland,romania,slovakia","2. Prototype,3. Early Revenue","We invest in CEE-based companies tackling energy market problems (grid, IoT, storage, mobility) with our bigger fund, and r&d-backed pre-seed/seed companies from various sectors with our smaller fund.",VC,$200000,$1000000
Spring Invest,https://www.spring-invest.com/,"33, Rue d'amsterdam, Paris, Île-de-France 75008, FR",france,"3. Early Revenue,4. Scaling",We invest in French software companies. Focus on the future of commerce.,VC,$500000,$3000000
SpringTime Ventures,https://springtimeventures.com/,"Denver, Colorado 80202, US",usa,"2. Prototype,3. Early Revenue","We invest in fintech, insurtech, healthcare, logistics & supply chain in the USA only. 
Founders must be in the US and primary customers must be in the US. 
No biotech, pharma, med devices, FDA clearance. No vice industries. No hardware. ",VC,$500000,$700000
Sputnik ATX,https://www.sputnikatx.com/,"301 Congress Ave.  Austin, TX 78701",usa,2. Prototype,We invest in maker-founders with MVP and at least 1 customer. ,VC,$100000,$100000
Staenberg Ventures,http://staenberg.com/,"2121 Terry Avenue, Seattle, WA  98121",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in a broad set of opportunities. My main criteria is can I add value?!
Sorry, I don't do ""over the transom"" deals. Previous connection to some of the people involved required.",VC,$25000,$1000000
Starquest Capital,http://www.starquest-capital.com/,"11 rue Royale, Paris, Ile-de-France 75008, FR",france,"3. Early Revenue,4. Scaling,5. Growth","We invest in French companies in Cleantech, Industry, Cybersecurity. ",VC,$1000000,$10000000
Startupfon,https://startupfon.com/,"Kolektif House Levent, Istanbul, Türkiye 34394 , TR","turkey,usa,poland,czech republic,hungary,slovakia,romania","3. Early Revenue,4. Scaling",We invest in seed and early stage startups targeting global expansion. ,VC,$75000,$200000
Story Ventures,https://storyventures.vc/,"54 W 21st St, New York, NY 10010",usa,"3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in pre-seed / seed venture firms focused on the modern data stack: everything from creation of data, to organization of data, to applications built on top of data.",VC,$500000,$1000000
Stride.VC,https://stride.vc/,"35 Portman Square, London, England GB","uk,france","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest pre-traction in hyper-ambitious founders who want to reshape their industry. We prefer whiteboards to boards. Dissenters welcome.,VC,$250000,$5000000
Studio Sia Partners,https://www.sia-partners.com/en/who-we-are/studio,"21 Rue de Berri, Paris, Île-de-France 75008, FR",france,"3. Early Revenue,4. Scaling","We invest in B2B tech startups with a strong ambition for French and international development, the capacity to address key accounts, and the ability to create synergies with consulting professions. ",VC,$300000,$700000
Subvisual,https://subvisual.com/,"Avenida João Paulo II, 404, 4andar, Sala45, Braga, 4715275, PT","portugal,uk,usa","1. Idea or Patent,2. Prototype","We invest in digital companies that push forward FinTech, Digital Healthcare, and others. We also create and buy companies.",PE fund,$25000,$250000
Supernode Ventures,https://supernode.vc/,"Flatiron District, NYC, US","usa,mexico,brazil,colombia","3. Early Revenue,4. Scaling",We invest in all verticals (generalist fund) and are looking to support outstanding entrepreneurs in their journeys to massively scale their companies.,VC,$50000,$100000
SuperSeed,https://www.superseed.com/,"231-232 Strand, London, WC2R 1DA, United Kingdom","uk,france,germany,netherlands,belgium,switzerland,italy,spain","2. Prototype,3. Early Revenue","We invest in UK-based B2B startups working on business automation (enterprise software / SaaS, Industry 4.0 / deep tech)",VC,$500000,$2000000
Susa Ventures,https://susaventures.com/,"660 York St Suite 201, San Francisco, CA 94110, United States","usa,canada,nigeria,mexico,india","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in companies building compounding moats, such as network effects, proprietary data, or economies of scale. Compounding moats enable businesses to become more defensible with scale. ",VC,$1000000,$2000000
SWaN & Legend Venture Partners,https://www.swanandlegend.com/,"Leesburg, VA, USA",usa,"3. Early Revenue,4. Scaling","We invest in US-based consumer technology, e-commerce, or consumer/retail SaaS businesses. Other areas include restaurants, media, and edtech.",VC,$4000000,$15000000
Synergy Ventures,http://www.synergyventures.net/,USA,usa,3. Early Revenue,"We invest in start-up companies developing medical device and diagnostic products that address major diseases and conditions prevalent in industrialized countries as the population ages (such as cancer, cardiovascular and neurological diseases, orthopedic problems, respiratory conditions, and gastrointestinal disorders).  

In these areas, we favor companies with novel, single-use medical devices that can provide clinically efficacious therapy, at lower cost, and with manageable and acceptable regulatory and reimbursement risks.  

We look for start-up ventures featuring product concepts that can be advanced with minimal infrastructure and head-count – companies that can demonstrate clinical efficacy of their product or technology early on, and thus create strong potential for partnerships and acquisitions. 

Synergy also assists our portfolio companies in developing corporate partnerships in Japan at the appropriate time, which can also provide significant strategic and economic benefits.  Our LPs are major Japan medical device corporations.",Corporate VC,$250000,$1000000
Takara Capital,https://takaracapital.com/,"45, avenue de la Liberté, L1931, Luxembourg",france,3. Early Revenue,We invest in B2B tech enablers,VC,$300000,$600000
TCG The Chernin Group,https://tcg.co/,"12180 Millennium Drive, Suite 500, Playa Vista, CA 90094","usa,canada,china,india","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",TCG is a multi-stage investment firm dedicated to building consumer business. We invest on majority and minority investments across the consumer landscape. ,Other,$10000000,$100000000
TechOne Ventures,https://www.techone.vc/,"Ortaköy Ave. Dereboyu St. N:78  Door N:4 Beşiktaş/ İstanbul, Turkey",turkey,"3. Early Revenue,4. Scaling,5. Growth","We invest in innovative tech startups founded by visionary entrepreneurs solving global problems, to deliver superior returns for our investors. We don't have any specific focus on sectors. ",VC,$100000,$1000000
Teknasyon,https://teknasyon.com/en/investments/,"Buyukdere Caddesi 245, Istanbul, Istanbul 34485, TR","romania,ukraine,egypt,uae,bahrain,estonia,portugal,turkey,russia,belarus,poland,czech republic,hungary","3. Early Revenue,4. Scaling,2. Prototype","We invest in B2C mobile app startups with high-quality, ready-to-use, consumer-focused content",Corporate VC,$100000,$500000
Telstra Ventures,https://telstraventures.com/,"575 Market Suite Suite 1650 San Francisco, CA 94105 USA","usa,china,australia,canada,israel","3. Early Revenue,4. Scaling","We invest in: (i) security, cloud, SaaS, networking, machine learning, data, consumer / media / mobile, logistics, and other emerging sectors; (ii) USA, China or Australia geographies; (iii) high-quality people; (iv) companies with $1M to $20M in revenue, and (v) invests in ~10 new companies each year. 

Telstra Ventures’ mission is to serve lighthouse leaders and help them deliver on their product dreams. 

Our differentiation comes from (i) sourcing: thematic investors complemented with data science, (ii) Revenue Bearing Relationships value-add: we have generated $300m in revenues for our portfolio in Australia and Asia by selling to and through Telstra, and (iii) our quality investment process: in 9 years, we have generated 8 IPOs (BigCommerce, Box, Cloopen, Crowdstrike, DocuSign, Skillz, Snap, and Whispir), 9 strategic M&As (Elastica, Elemental, Kony, Nexmo, Nginx, Ooyala, Rancher, TeleSign, and VeloCloud), and 3 additional Unicorns (Auth0, GitLab, UBtech).  ",VC,$4000000,$15000000
Tenacious Ventures,https://tenacious.ventures/,"Melbourne, VIC 3000, AU",australia,3. Early Revenue,We invest in early-stage agtech and foodtech startups,VC,$250000,$1500000
TenOneTen Ventures,https://tenoneten.net/,"1999 Avenue of the Stars, CA 90067, USA",usa,3. Early Revenue,We invest in engineers turned entrepreneurs.,VC,$250000,$1500000
Terra Venture Partners,http://www.terravp.com,"4 Hamada St., PO box 355 Yokneam Illit  20692, Israel",israel,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Israeli early-stage startups developing innovative technologies that have the potential to make a positive impact on people and the environment.

Our portfolio companies are developing technologies and strong business models to disrupt industries in sectors such as Medical, Agritech & Foodtech, Cleantech, Digitalization of traditional industries, Mobility, Construction & Proptech, Industry 4.0 and more.",VC,$500000,$1000000
The Arkfund,https://www.arkfund.co/,"Goldsmith 40, Polanco, Polanco III Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX","mexico,colombia,argentina,chile,peru","3. Early Revenue,2. Prototype,4. Scaling","We invest in emerging techs in Latam. 

The Arkfund is a Pre-seed and Seed, industry agnostic fund.",VC,$50000,$50000
The Community Fund,https://www.thecommunity.vc/,"Boston, Massachusetts",usa,"2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in community-driven companies.,VC,$50000,$50000
Everywhere Ventures,https://thefund.vc,"305 2nd Ave, New York, 10003, US","usa,uk,germany,france,australia,spain","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in tech-enabled companies making a positive impact. First check.,VC,$50000,$100000
The SidebySide Partnership,https://thesidebysidepartnership.com/,"17 Carlton House Terrace, St. James’s, London, SW1Y 5AS, United Kingdom",uk,"4. Scaling,5. Growth","We invest in fast-growing technology-enabled businesses with £1-10 million in revenue, that qualify for EIS investment. These more established companies will usually be at least several years old and typically have over 30 employees. We look for companies where there is evidence of a strong customer acceptance of the product and service offered, and where we believe we can add substantively to the knowledge and experience of the management team as the company grows.",VC,$275000,$1400000
The Westly Group,https://www.westlygroup.com/,"Menlo Park, California, United States","usa,canada,belgium,finland,sweden,france,germany","3. Early Revenue,4. Scaling","We invest in companies building technology in Energy, Transportation, Buildings, & Industry 4.0.",Other,$3000000,$7000000
Third Rock Ventures,https://www.thirdrockventures.com/,"29 Newbury St., 3rd Floor, Boston, MA 02116, US",usa,"2. Prototype,1. Idea or Patent","We invest in therapeutics. 

We are a venture studio focused on company formation that translates bleeding-edge science into medicines that transform patient lives.",VC,$5000000,$100000000
Thundermountain,https://www.linkedin.com/in/frank-petry/,"Kaiserslautern, Rheinland-Pfalz, Germany","germany,lithuania,latvia,estonia,switzerland,austria,uk,france,netherlands,belgium,luxembourg","2. Prototype,3. Early Revenue,4. Scaling","We invest in European based Tech Startups with a focus on global growth. Minimum MVP, better first revenue. We're building a bridge from the East to the West, so we also focus on promising CEE startups. ",Other,$25000,$100000
Town Hall Ventures,https://www.townhallventures.com/,"330 Hudson St, New York, US",usa,"3. Early Revenue,4. Scaling,5. Growth","We invest in tech and services for underserved populations in healthcare, with a focus on Medicare, Medicaid, chronic illnesses and value-based care",VC,$1000000,$15000000
TPY Capital,https://tpycapital.com/,"Raoul Wallenberg 20, Tel Aviv, Israel",israel,"3. Early Revenue,2. Prototype,4. Scaling","We invest in early and revenue-generating B2B enterprise software-related companies with a focus on cloud infrastructure, big data, human augmentation, and quantum computing.",VC,$2000000,$7000000
Translink Capital,https://translinkcapital.com/,"530 Lytton Avenue, Suite 300 Palo Alto, CA 94301 United States","china,usa,taiwan,south korea,switzerland,uk,canada,france,germany,finland,denmark","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in early-stage startups across consumer, enterprise, and digital health sectors",VC,$500000,$7000000
Trend Forward Capital,https://www.trendforward.com/index.html,"560 S Winchester Blvd, San Jose, CA 95128, US",usa,"3. Early Revenue,4. Scaling","We invest in companies across EdTech, HRTech, Future of Work, Digital Health, Consumer Software, and Marketing Tech.",Corporate VC,$250000,$1000000
Triple Point (UK),https://triplepoint.vc/,"1 King William Street, London, EC4N 7AF",uk,"3. Early Revenue,4. Scaling,2. Prototype",We invest in UK B2B software businesses and B2B/B2C businesses with a positive social impact. Businesses typically require early revenues (£10k+ MRR).,VC,$250000,$2000000
True Growth Capital,https://truegrowth.de/,"Schönhauser Allee 53, 10437 Berlin","germany,uk,austria,switzerland,netherlands,spain,belgium,luxembourg,france,portugal,denmark,sweden,finland","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in digital platforms, d2c, network models, software, social media, a bit of Saas. 

Our investment hypothesis centers around finding the best people working on commercially sound business models. This philosophy of not just singularly optimizing on growth metrics but considering long-term viability of the business while still achieving digital category leadership within a c. 5-8 year timeframe, is what we call “True Growth”. 

Furthermore, we focus our investments on cases where it is evident that we can provide “smart money”. I.e. opportunities where the competencies of our group are strongly relevant to get the company on a true, sustained, commercial growth trajectory. We leverage key learnings from scaling our own ventures (everyone in our group is an operator!) to global importance while retaining robust unit economics in order to pick investments and support our portfolio founders. ",Angel network,$50000,$1000000
Truffle Capital,https://www.truffle.com/,"5 rue de la Baume, Paris, 75008, FR","france,belgium,germany,italy,netherlands","3. Early Revenue,4. Scaling,5. Growth",We invest in fintech & insurtech with an emphasis on our ecosystem whereby portfolio companies will have partnering opportunities with banks & insurance companies that are LPs of Truffle funds,VC,$1000000,$6000000
Trust Esport,https://www.trust-esport.com/en/,"c/o Apicap, 2, rue Goethe, 75116 Paris, France","france,portugal,germany,belgium,spain,sweden,denmark,finland,netherlands,poland","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in EU-based Esports and gaming startups.,VC,$500000,$2500000
TS Ventures,https://www.tsventures.io/,"Schloßstr. 20, 51429 Cologne, Germany","germany,france,spain,italy,finland,sweden,denmark,portugal,belgium,greece,ireland,usa,austria,switzerland,croatia,ukraine,russia,uk,slovenia,slovakia,serbia,romania","2. Prototype,3. Early Revenue,4. Scaling","We invest in SaaS, AdTech, Marketplace, and (Climate) Impact Startups. ",Angel network,$200000,$600000
Tsingyuan Ventures,http://www.tsingyuan.ventures/,"280 Second Street, Suite C, Los Altos, California 94022, US",usa,"3. Early Revenue,2. Prototype,4. Scaling","We invest in deep-tech cross-disciplinary early-stage startups across software, life science, and hard tech. ",VC,$500000,$2000000
TX Ventures,https://ventures.tx.group/,"Werdstrasse 21, CH-8004 Zurich, Switzerland","switzerland,germany,austria","4. Scaling,3. Early Revenue","We invest in the following verticals:

- You build a startup in Consumer FinTech, Digital Entertainment, or Productivity

-‍ You operate in Switzerland or plan to expand here

- You have a history of first revenues (typically Series A)

- You are ambitious, challenge the status quo, and want to grow",Corporate VC,$500000,$3000000
Ufi Ventures,https://ufi.co.uk/ufi-ventures/,"First Floor 10 Queen Street Place London EC4R 1BE, UK",uk,3. Early Revenue,"We invest in companies that are building digital technologies to give people and businesses the skills needed for work, now and in the future.",VC,$75000,$225000
Uncork Capital,https://uncorkcapital.com/,"221 Main St Suite 1600 San Francisco, CA 94105","canada,usa,israel","2. Prototype,3. Early Revenue",We invest in outliers and out-performers who use technology to solve real problems for real people and real businesses. Your product or service should be differentiated and special. You should be obsessed with the idea and uniquely qualified to build and scale it. The sector you are targeting should be large enough to support a few public companies.,VC,$700000,$2000000
United Investors,https://unitedinvestors.ru/,"Russia, Moscow","afghanistan,albania,andorra,algeria,antigua and barbuda,argentina,armenia,angola,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bolivia,bosnia-h,botswana,brazil,brunei,bulgaria,burkina faso,burundi,cabo verde,cambodia,cameroon,canada,central african republic,chad,chile,china,colombia,comoros,congo (congo-brazzaville),costa rica,côte d'ivoire,croatia,cuba,cyprus,czech republic,drc congo,denmark,djibouti,dominica,dominican republic,ecuador,egypt,el salvador,equatorial guinea,eritrea,estonia,""eswatini (fmr. """"swaziland"""")"",ethiopia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,greece,grenada,guatemala,guinea,guinea-bissau,guyana,holy see,haiti,honduras,hong kong,hungary,iceland,india,indonesia,iran,iraq,ireland,israel,italy,jamaica,japan,jordan,kazakhstan,kenya,kiribati,kuwait,kyrgyzstan,laos,latvia,lesotho,lebanon,liberia,lithuania,liechtenstein,luxembourg,lybia,madagascar,malawi,malaysia,maldives,mali,malta,marshall islands,mauritania,mauritius,mexico,moldova,monaco,micronesia,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nauru,nepal,netherlands,new zealand,nicaragua,niger,nigeria,north korea,north macedonia,norway,oman,pakistan,palau,palestine,panama,papua new guinea,paraguay,peru,philippines,poland,portugal,qatar,romania,russia,rwanda,saint vincent and the grenadines,samoa,san marino,sant kitts and nevis,sant lucia,sao tome and principe,saudi arabia,senegal,serbia,seychelles,sierra leone,singapore,slovakia,slovenia,solomon islands,somalia,south africa,south korea,south sudan,spain,sri lanka,sudan,suriname,sweden,switzerland,syria,taiwan,tajikistan,tanzania,thailand,timor-leste,togo,tonga,trinidad and tobago,tunisia,turkey,turkmenistan,tuvalu,uganda,uk,ukraine,uae,uruguay,usa,uzbekistan,vanuatu,venezuela,vietnam,yemen,zambia,zimbabwe","2. Prototype,3. Early Revenue,4. Scaling",We invest in revenue-first startups,Angel network,$50000,$2000000
Unitus Ventures,https://unitus.vc/,"Axilor Transit, 3rd Floor, Sobha Pearl, Commissariart Road, Sivanchetti Gardens, Bangalore, Karnataka 560025, IN",india,"3. Early Revenue,4. Scaling","We invest in early-stage fintech, healthcare, and jobtech startups with India scale and global emerging market potential.",VC,$500000,$1000000
Unknown Ventures,https://www.unknown.vc/,"201 E 5th St, Austin, Texas 78701, US",usa,"3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling",We invest in pre-seed to Series A startups in emerging spaces.,Startup studio,$50000,$1500000
Unpopular Ventures,https://unpopular.vc/,"90 Gold St, San Francisco, CA 94133, United States","algeria,australia,vietnam,usa,sweden,uk,ukraine,austria,brazil,belgium,bangladesh,canada,china,afghanistan,albania,andorra,angola,antigua and barbuda,argentina,armenia,azerbaijan,bahamas,bahrain,barbados,belarus,belize,benin,bhutan,bolivia,bosnia-h,botswana,brunei,bulgaria,burkina faso,burundi,cabo verde,cambodia,cameroon,central african republic,chad,chile,colombia,comoros,congo (congo-brazzaville),costa rica,côte d'ivoire,croatia,cuba,cyprus,czech republic,drc congo,denmark,djibouti,dominica,dominican republic,ecuador,egypt,el salvador,equatorial guinea,eritrea,estonia,""eswatini (fmr. """"swaziland"""")"",ethiopia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,greece,grenada,guatemala,guinea,guinea-bissau,guyana,haiti,holy see,honduras,hong kong,hungary,iceland,india,indonesia,iran,iraq,ireland,israel,italy,jamaica,japan,jordan,kazakhstan,kenya,kiribati,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,liechtenstein,lithuania,luxembourg,lybia,madagascar,malawi,malaysia,maldives,mali,malta,marshall islands,mauritania,mauritius,mexico,micronesia,moldova,monaco,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nauru,nepal,netherlands,new zealand,nicaragua,niger,nigeria,north macedonia,norway,oman,pakistan,palau,palestine,panama,papua new guinea,paraguay,peru,philippines,poland,portugal,qatar,romania,russia,rwanda,saint vincent and the grenadines,samoa,san marino,sant kitts and nevis,sant lucia,sao tome and principe,saudi arabia,senegal,serbia,seychelles,sierra leone,singapore,slovakia,slovenia,solomon islands,somalia,south africa,south korea,south sudan,spain,sri lanka,sudan,suriname,switzerland,syria,taiwan,tajikistan,tanzania,thailand,timor-leste,togo,tonga,trinidad and tobago,tunisia,turkey,turkmenistan,tuvalu,uganda,uae,uruguay,uzbekistan,vanuatu,venezuela,yemen,zambia,zimbabwe","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in the category leaders of tomorrow whose potential is being underestimated today.,VC,$100000,$500000
Unshackled Ventures,https://www.unshackledvc.com/,"435 Hamilton Ave, Palo Alto, CA 94301, US","usa,canada","2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in teams that have one or more founders who are first or second generation to the U.S.,VC,$150000,$500000
Up Partners,https://www.up.partners/,"Santa Monica Airport, CA, USA","usa,australia,germany,south africa","3. Early Revenue,2. Prototype,4. Scaling",We invest in enabling multi-dimensional mobility. We invest in anything that helps the ecosystem of transportation develop.,VC,$500000,$5000000
Urban Innovation Fund,https://www.urbaninnovationfund.com/,"San Francisco, CA",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in startups shaping the future of cities. Areas of interest include mobility, energy & water, future of work, proptech, food, business services/ fintech, health, and civic tech. ",VC,$750000,$1500000
USVP US Venture Partners,https://www.usvp.com/,"1460 El Camino Real, Menlo Park, CA 94025","usa,israel",3. Early Revenue,"We invest in SaaS, Cloud, Cybersecurity, e-Commerce, Health and Healthcare IT
More details https://www.usvp.com/about/",VC,$5000000,$10000000
UTEC - The University of Tokyo Edge Capital,https://www.ut-ec.co.jp/english/,"The University of Tokyo, Japan","japan,india,singapore,usa,uk","2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent","UTEC - The University of Tokyo Edge Capital Partners, is a Japan-based seed/early stage deep-tech venture capital firm associated with academic institutes such as The University of Tokyo. UTEC has over $500M Assets Under Management, and has invested in 100+ companies in Japan, USA, Singapore, India and Europe with a track record of 13 IPOs and12 successful M&A (as of Mar 2021). UTEC predominantly invests in three deep-tech sectors: a) Healthcare & Life Sciences, b) IT/AI, and c) Physical Sciences & Engineering.",VC,$1000000,$4000000
UVC Partners,https://www.uvcpartners.com/,"Lichtenbergstr. 6 85748 Garching by Munich, Germany","germany,switzerland,austria,belgium,netherlands,luxembourg,denmark,sweden","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in early-stage B2B tech startups in Europe in the fields of Enteprise Software, Industrial Technologies and Mobility.",VC,$500000,$5000000
Valia Ventures,https://www.valia.vc/,"595 Pacific Avenue Jackson Square San Francisco, CA 94133","usa,uk,uae,canada,france,nigeria,kenya","2. Prototype,3. Early Revenue,4. Scaling",We invest in founders building tomorrow’s most iconic companies.,VC,$75000,$1000000
Van Wickle Ventures,https://www.vanwickleventures.com/,"69 Brown St, Providence, RI 02906, USA",usa,"3. Early Revenue,2. Prototype,4. Scaling,5. Growth,6. Pre-IPO",We invest in Brown/RISD affiliated founders across all stages and industries. ,VC,$10000,$50000
Vectr Ventures,https://vectr.co/,"Talon Tower, 38 Connaught Rd W, Sheung Wan, Hong Kong","usa,uk,israel,indonesia,singapore,vietnam","3. Early Revenue,1. Idea or Patent,2. Prototype","We invest in the future of work, new commerce and commerce infrastructure, consumerization of health.

Our 3 core pillars are hyper-urbanization, regenerative economy, and the future of life.",VC,$200000,$1500000
Velocity Partners,https://velocitypartners.vc/,"123 Pireos Ave, 118 54, Athens, Greece",greece,"3. Early Revenue,2. Prototype","We invest at pre-seed / seed stage, across sectors, in market pull companies with global focus led by Greek founders. ",VC,$300000,$1000000
Vendep Capital,https://www.vendep.com/,"Keilaranta 8, Espoo, Finland","finland,sweden,denmark,estonia,latvia,lithuania",4. Scaling,We invest in SaaS startups across Nordics and Baltics.,VC,$600000,$1200000
Venista Ventures,https://venista-ventures.com/,"Friesenpl. 4, 50672 Köln, Germany","germany,austria,switzerland,france,belgium,netherlands,luxembourg,uk,denmark,sweden,norway,finland,estonia","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in outstanding teams based in Western Europe & the Nordics working on tech-driven enterprise and consumer startups.,VC,$50000,$175000
Venture Highway,https://www.venturehighway.vc/,"2 Nambardar Estates, Gurudwara Rd, Navjivan Buddh Vihar, Taimoor Nagar, New Friends Colony, New Delhi","india,usa","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-product/early revenue Indian teams using technology in commerce, education, finance, human capital, marketing, and social",VC,$200000,$2500000
Venture Inc,https://www.ventureinc.com/,"Zwycieska 45/3, Wroclaw, 50-033, Poland","usa,uk,ukraine,estonia,poland","2. Prototype,3. Early Revenue",We invest in software startups with no or early revenue,VC,$100000,$1000000
Venture MENA,http://www.venturemena.com/,"34th Floor, 3416 ResCo-Work04, Al Maqam Tower Abu Dhabi Global Market, Abu Dhabi, UAE","uae,saudi arabia,egypt,kuwait,qatar,bahrain,jordan,palestine,iraq,morocco,algeria,tunisia,oman,lebanon","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Middle East based early-stage technology entrepreneurs who are creating new tools and networks that enable businesses to operate in tomorrows market. We will invest in the seed range through Series A, adhere to a defined reserve allocation policy and give our LP bases access to co-investment and later stage opportunities. 
",VC,$50000,$100000
Verge Healthtech Fund,https://www.vergehc.com/,"Singapore, Singapore 189720, SG","israel,usa,canada,finland,estonia,taiwan,singapore,uk,belarus,poland,vietnam",2. Prototype,"We invest in technology-centric solutions that expand access, quality and efficiency to healthcare across emerging markets.",VC,$250000,$500000
Vertex Ventures Israel,https://www.vertexventures.co.il/,"28 HaArba’a Street, Tel Aviv-Yafo, Northern Tower, Floor #29, Tel Aviv, IL",israel,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage Israeli Tech companies led by globally-minded entrepreneurs who seek to disrupt global markets. Fields range from cyber security to digital health. Check out portfolio to see the variety.,VC,$500000,$8000000
Vinci Venture Capital,https://www.vincivc.com/,"Amstelveenseweg 500, 1081 KL Amsterdam, Netherlands","germany,uk,turkey","3. Early Revenue,4. Scaling","We invest in early-stage European industrial technologies within logistics/supply chain, energy management and storage, automotive and mobility technologies, and industry 4.0 (incl. AI, AR/VR, additive manufacturing, robotics/drones, cybersecurity, blockchain)",VC,$100000,$700000
