Name,Location,Type,Website,Amount (up to EUR),Description / Eligibility,Website Domain
Frenchtech,France,Loan,https://lafrenchtech.com/fr/la-france-aide-les-startup/bourse-french-tech/,30.0,"Passer de l’idée à la création d’une entreprise n’est jamais facile : la Bourse French Tech viser à faciliter un peu les choses, en couvrant jusqu’à 70% des dépenses éligibles des entrepreneurs.

3 000 start-up ont bénéficié du dispositif depuis son lancement.

Son but : encourager la création d’entreprises innovantes, avec un fort potentiel de croissance, permettre aux entreprises, qu’elles soient en création ou récemment créées, d’effectuer les premières dépenses pour tester leur marché, diminuer les risques liés à la création d’une start-up.

Il existe deux types de bourses : la Bourse French Tech, pour soutenir tous les projets innovants, et la Bourse French Tech Emergence, pour les start-up qui s’appuient sur des technologies de rupture, à forte dimension technologique (la “Deep Tech”).",lafrenchtech.com/fr/la-france-aide-les-startup/bourse-french-tech/
Frenchtech Emergence,France,Loan,https://www.bpifrance.fr/catalogue-offres/soutien-a-linnovation/bourse-french-tech-emergence,90.0,"Jeunes entreprises à réel potentiel de croissance immatriculées en France il y a moins d’un an, quel que soit le secteur d’activité économique (service, industrie, numérique) et répondant à la définition européenne de la Petite Entreprise (entreprise < 50 personnes et CA ou total bilan < 10M€).",bpifrance.fr/catalogue-offres/soutien-a-linnovation/bourse-french-tech-emergence
Hacking Health,France,Incubator,https://hacking-health.org/,,,hacking-health.org/
Healthtech for Care,France,Incubator,https://htfc-eu.com/,,,htfc-eu.com/
I-Lab,France,"Grant,Award",https://www.bpifrance.fr/nos-appels-a-projets-concours/concours-dinnovation-i-lab,600.0,"Can participate in this competition any natural person who has created his company for less than two years or having for project the creation, on the French territory, of an innovative technology company, whatever his nationality, his statute or his professional situation, provided that it fulfills the legal and regulatory conditions required for the creation of a company.",bpifrance.fr/nos-appels-a-projets-concours/concours-dinnovation-i-lab
I-Nov,France,"Grant,Award",https://www.bpifrance.fr/nos-appels-a-projets-concours/appel-a-projets-concours-dinnovation-i-nov,5000000.0,"This competition of excellence is dedicated to innovative single-partner projects carried out by start-ups and SMEs and leading to the accelerated emergence of leading companies in their field that can claim a global reach.

The ""i-Nov Innovation Competition"" call for projects makes it possible to co-finance research, development and innovation projects whose total costs are between €1 million and €5 million, and whose duration is between 12 and 36 month. 
The project must fall under one of the 4 themes detailed in the specifications. 

Digital; 
Health ;
Transport, mobility, cities and sustainable buildings;
Energy, resources and natural environments.",bpifrance.fr/nos-appels-a-projets-concours/appel-a-projets-concours-dinnovation-i-nov
I-PhD,France,Grant,https://www.bpifrance.fr/catalogue-offres/soutien-a-linnovation/concours-dinnovation-i-phd,,Any young Doctor (year of the thesis and up to three years after the defence) who wishes to promote research results (from a public research laboratory) with the aim of creating a startup to develop and market a product or service with strong technological innovation and as such accompanied by a Technology Transfer Structure.,bpifrance.fr/catalogue-offres/soutien-a-linnovation/concours-dinnovation-i-phd
IMPULSE Partners,France,"Incubator,Fund",https://impulse-partners.com/,,,impulse-partners.com/
Innovup,France,Loan,https://www.iledefrance.fr/innovup,3000000.0,"Qui peut en bénéficier ?
Entreprises
Associations
Les TPE/PME et ETI, quelle que soit leur forme juridique, y compris les associations ayant une activité économique.

Le candidat devra posséder au moins 1 établissement sur le territoire francilien ou justifier la volonté de s'y implanter.
 

Quelle est la nature de l'aide ?
L’aide peut prendre la forme d’une subvention et/ou d’une avance récupérable (AR), dans la limite de 500.000€ de subvention et 3 M€ d’avance récupérable.

Le taux d’intervention s’applique en fonction de la taille de l’entreprise et de la nature du projet (de 25% à 70%).",iledefrance.fr/innovup
LyonBiopole,France,"Incubator,Award",https://lyonbiopole.com/appel-a-projet/appel-a-candidatures-de-startups-secteurs-des-technologies-innovantes-appliquees-a-la-sante,30.0,"Are you a startup created less than 8 years ago in the field of technologies applied to health? Apply, from March 14 and before midnight June 30, 2022, for the new edition of the Grands Prix de l'Académie des technologies!
The Académie des technologies supports young innovative French companies with promising economic prospects. Organized each year by the Académie des technologies, the Fondation des Arts et métiers, the Fondation de l'Académie des technologies and Bpifrance,  these Grands Prix are intended to encourage, support and promote young innovative companies  in the industrial sectors. individuals.",lyonbiopole.com/appel-a-projet/appel-a-candidatures-de-startups-secteurs-des-technologies-innovantes-appliquees-a-la-sante
NUMA,France,Incubator,https://www.numa.co/,,,numa.co/
PAI,France,Interest free loan,https://www.bpifrance.fr/catalogue-offres/soutien-a-linnovation/pret-damorcage-investissement,500.0,Providing additional financing in the form of a loan for companies that have raised. The loan will be capped at €500K and concerns a fundraising of a minimum of €200K.,bpifrance.fr/catalogue-offres/soutien-a-linnovation/pret-damorcage-investissement
Paris&Co,France,Incubator,https://www.parisandco.paris/sitepage/offre-amorcage,30.0,"By joining a Seed Program at Paris&Co, you benefit from the support of the City of Paris and are eligible for the Paris Innovation Seed Fund (up to 30,000 euros in subsidy) subject to accommodation in one of their incubators.   ",parisandco.paris/sitepage/offre-amorcage
Station F,France,Incubator,https://stationf.co/,,,stationf.co/
Wilco,France,"Incubator,Loan",https://www.wilco-startup.com/prets-entrepreneur/,150.0,Financing the commercial start-up of young innovative companies in the Ile-de-France region by providing its associates with a zero-interest loan.,wilco-startup.com/prets-entrepreneur/
BayTOU,Germany,Grant,http://www.bayern.de/,30.0,"Backed by Bavaria’s State Government, BayTOU (short for “Bayerischen Technologieorientierte Unternehmensgründungen“) is another of Germany’s top startups grants.

The funding aims at encouraging startups to invest in innovative technological projects and, more broadly, to support the creation of new businesses in Bavaria.

Moreover, the funding can cover up to 35% of the eligible project expenditures for medium-size business (and 45% for small businesses). Yet, note that the grant funding is limited to €150,000 maximum for software companies. See more details on how much you can actually claim here.

In order to apply for the grant you must:

Have a technology-oriented business
Your company must be incorporated less than 6 years ago
Have less than 10 employees
Prove the project will be carried in Bavaria
See the full list of requirements here.",bayern.de/
Bosch Startup Harbour,Germany,Grant,https://www.startup-harbour.com/berlin-scholarship-program/,10.8,"Bosch has launched the Startup Harbour acceleration program to drive innovation in the Internet of Things (IoT) ecosystem. The program, which focuses on early-stage startups in Berlin, aims to support talented founders and their teams with an initial business concept on their journey to becoming a successful venture.

The program offers a comprehensive coaching, mentoring, and training curriculum to help startups create a solid business model with a first minimum viable product (MVP) and beyond. The program’s content is tailored to meet the individual needs of each startup participating in the program, thus supporting them based on the maturity index of their business.

More than offering a pure training program, the Bosch Startup Harbour serves as a matchmaker between startups and relevant Bosch business units, partners, potential customers, and investors.

In addition, startups can benefit from a large network of researchers, from well-equipped labs and theoretical expertise through our cooperation partner – the Steinbeis university (School of Management and Technology).

During the duration of the 6 months program, each team member will receive a publically funded scholarship of 1.800 € per month.",startup-harbour.com/berlin-scholarship-program/
Coup,Germany,"Tax Credit,Government ",https://www.getcouped.com/en,1000000.0,"Claim 25% of your R&D costs back.
Within only a few hours.
The German government subsidizes R&D projects of startups with up to €1,000,000.
Per year.
We take care of the bureaucracy.
You enjoy your money.",getcouped.com/en
DesignFarmBerlin,Germany,"Grant,Accelerator",https://designfarmberlin.com/,18.0,"At DesignFarm you can make your design-in-tech project bloom. We grant funding of EUR 2,000 per month for the period of 9 months, in exceptional cases also up to one year, in combination with a mentorship program.",designfarmberlin.com/
ERP Digitization And Innovation Loan,Germany,Loan,http://www.kfw.de/inlandsfoerderung/Unternehmen/Innovation/F%C3%B6rderprodukte/ERP-Digitalisierungs-und-Innovationskredit-(380-390-391)/,25000000.0,"Another of ERP’s grant funding programs, ERP Digitization and Innovation (ERP – Digitalisierungs- und Innovations­kredit) is also a grant that takes the form of a low-interest loan.

Unlike ERP Start-Up Loan, ERP Digitization and Innovation doesn’t only focus on early-stage businesses (less than 5 years). Instead, it funds any type of digital and/or innovative company that undertakes the development of new or improved products, processes or services.

To find out whether your business is considered digital and/or innovative under the grant, have a look at the supporting documentation here (in German).

The loan ranges anywhere from €25,000 to €25 million. Also, the grant covers up to 100% of eligible expenses and investment costs.

See more information on the conditions of the grant and whether you can apply here.",kfw.de/inlandsfoerderung/Unternehmen/Innovation/F%C3%B6rderprodukte/ERP-Digitalisierungs-und-Innovationskredit-(380-390-391)/
ERP Start-Up Loan,Germany,"Loan,Grant",http://www.bmwi.de/Navigation/DE/Home/home.html,100.0,"Backed by the German Federal Ministry for Economic Affairs and Energy (BMWi), the ERP Start-Up Loan (“ERP-Gründerkredit”) consists of 2 grant programs.

It aims to finance startup businesses with low-interest loans from the ERP fund. The 2 programs are:

ERP Gründerkredit – StartGeld offers small businesses up to €100,000 grant funding
ERP Gründerkredit – Universell offers larger startup businesses up to €25 million funding
Both grants are available to businesses with up to 5 years of operations maximum. Also, the maturity of the loans ranges from 5 to 10 years.",bmwi.de/Navigation/DE/Home/home.html
EXIST,Germany,Grant,https://www.exist.de/EXIST/Navigation/EN/Home/home.html,200.0,"Startups in Germany that are affiliated with a university or research institute
",exist.de/EXIST/Navigation/EN/Home/home.html
FUNDED,Germany,Grant,https://www.gotfunded.de/en/home,5000000.0,"The German government provided a grant volume of around €47.2 billion in 20221. This was supplemented by further subsidies at EU level amounting to billions.

Companies can benefit from various programs, including the research allowance, which allows them to receive up to €5 million tax-free for research and development (R&D) projects

CHALLENGE
There are billions in grants that go unclaimed each year because many companies are unaware that they are entitled to these funds1.

The main reason for this is the complex and time-consuming process of identifying, applying for, and receiving funding, which is a challenge for many start-ups, scale-ups, and larger companies.",gotfunded.de/en/home
Gründung Innovativ,Germany,Grant,http://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Brandenburg/gruendung-innovativ.html,100.0,"Backed by the State of Brandenburg in Germany and the European Regional Development Fund ( ERDF) Grundung Innovativ is another of Germany’s top startups grants.

The grant aims to support SMEs and startups by covering part of their expenditures during the first 3 years of their operations.

Grundung Innovativ offers up anywhere from €25,000 to €100,000 to eligible businesses to fund personnel costs, acquire material, equipment or property for production, pay for consulting services and subcontractor expenses as well as the acquisition of licenses.

Yet, note that the business must fund at least 50% of the total project costs.",foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Brandenburg/gruendung-innovativ.html
GründungsBONUS,Germany,Grant,https://www.ibb.de/de/foerderprogramme/gruendungsbonus.html,50.0,"Backed by Investitionsbank Berlin, GründungsBONUS is a grant funding scheme which helps fund SMEs and startups cover the costs incurred in their first 2 years of operation.

The grant offers funding for 50% of startups costs up to €50,000 maximum.

In order to be eligible for the grant your startup must:

Be incorporated less than 12 months at the time of application
Be operating within a technological, digital, creative or sustainable industry
Must have its business headquartered and/or operate in Berlin for at least 3 years after the last payment of the grant has been made",ibb.de/de/foerderprogramme/gruendungsbonus.html
MEP (by SAB),Germany,Grant,http://www.sab.sachsen.de/f%C3%B6rderprogramme/sie-m%C3%B6chten-ein-unternehmen-gr%C3%BCnden-in-ihr-unternehmen-investieren-oder-ihre-gesch%C3%A4ftst%C3%A4tigkeit-ausbauen/markteinf%C3%BChrung-innovativer-produkte-markteinf%C3%BChrungsphase-mep-zuschuss.jsp,150.0,"MEP (Markteinführung innovativer Produkte – MEP-Zuschuss) is SAB’s grant funding program for startups. SAB (Sächsische Aufbaubank – Förderbank) is the development agency of the Free State of Saxony.

The MEP grant aims to support SMEs with the market launch of new and innovative products, processes or services.

The grant covers up to 75% of the eligible expenditures depending on the size of the business:

Businesses with less than 5 years of operations can claim 75% up to a maximum of €150,000
All other businesses can get up to 50% up to €100,000 maximum
To find out more about the eligibility criteria and the conditions of the grant, refer to the document here (in German).",sab.sachsen.de/f%C3%B6rderprogramme/sie-m%C3%B6chten-ein-unternehmen-gr%C3%BCnden-in-ihr-unternehmen-investieren-oder-ihre-gesch%C3%A4ftst%C3%A4tigkeit-ausbauen/markteinf%C3%BChrung-innovativer-produkte-markteinf%C3%BChrungsphase-mep-zuschuss.jsp
Pro FIT (Frühphasenfinanzierung),Germany,Grant,http://www.ibb.de/en/foerderprogramme/pro-fit-fruehphasenfinanzierung.html,500.0,"Pro FIT is a number of grant programs for startups backed by the State of Berlin through the Investitionsbank Berlin (IBB). IBB offers financial assistance to technology-oriented SMEs and startups in the early stages of their business operation.

Pro FIT (Frühphasenfinanzierung) is abnother of Germany’s top public grants that supports startups with financing in their first years. The grant covers expenses such as personnel costs, investment in material & equipment and other operating expenses.

Unlike non repayable grants, Pro FIT mostly funds projects with loans instead. Therefore, they need to be repaid. There are 2 phases to the Frühphasenfinanzierung grant:

Phase 1: 50% funded with a non-repayable grant and 50% with a loan. The phase must last no more than a year
Phase 2: 100% funded with a loan
Also, what’s great about Pro FIT is that businesses can finance 100% of their project costs with the grant. Yet, note the maximum that can be funded is €500,000 total per project.

In order to apply your business must:

Be a newly incorporated business: no more than 12 months ago (phase 1) or 24 months ago (phase 2)
Be a technology-orientated company based in Berlin
Have an innovative R&D project ready for commercialisation (or intended to be commercialised)
Own the intellectual property rights to all products",ibb.de/en/foerderprogramme/pro-fit-fruehphasenfinanzierung.html
Pro FIT (Projektfinanzierung),Germany,Grant,http://www.ibb.de/en/foerderprogramme/pro-fit-projektfinanzierung.html,1000000.0,"Unlike Frühphasenfinanzierung, Projektfinanzierung is meant to fund R&D projects and includes not only companies but also research institutes.

The grant funds industrial research, experimental development, market preparation and launch projects.

As for Frühphasenfinanzierung, the grant is a mix of non-repayable grants (free money) and low-interest loans, depending on the stage the project/business is in (see chart below).

germany's top grants startups
In short, grants can be up to €400,000 and loans up to €1,000,000 per project. Yet, the grant doesn’t fund 100% of eligible expenses but 80% instead, so businesses must fund the remaining 20% themselves.",ibb.de/en/foerderprogramme/pro-fit-projektfinanzierung.html
REAKTOR.BERLIN,Germany,Grant,https://reaktor.berlin/our-program/,13.2,"Your project is creative, knowledge-based or technology-oriented
Focus on impact driven projects that bring solutions to the great challenges of our societies such as: climate change, gender inequality and diversity, housing, education, sustainable food, efficient health care system, etc.
You currently reside in Berlin or plan to move to Berlin
You haven’t received any public grants yet (EXIST or Berlin Startup Stipendium)
If your business is already registered, it is not older than 3 months before your application to this program
No solo entrepreneur. The founding team consists of at least 2 people
We offer up to 2 grants per startup. By exception and if the project addresses one of the Grand Challenges, a third grant may be awarded to a third co-founder",reaktor.berlin/our-program/
Startup Incubator Berlin,Germany,"Grant,Incubator",https://www.startup-incubator.berlin/,1.0,"The Berlin Startup Scholarship supports founders who have an initial startup concept, a prototype and are in the process of preparing to launch. Both financially and with an excellent infrastructure, first-class coaching and consulting sessions and a supportive environment.

The aim of the scholarship is the establishment and launch of the company. As lean Incubator we are looking for founders that are striving for continuous improvement and are user centric oriented.",startup-incubator.berlin/
Vision Health Pioneers,Germany,"Grant,Incubator",https://visionhealthpioneers.de/,80.0,"Vision Health Pioneers Incubator is a Berlin based early-stage startup program that supports first-time founders in healthcare. In our 10-month program, we support entrepreneurs with training, free coworking space, business opportunities and equity-free scholarship funding of up to 80,000 Euro per team.

1 Hackathons
0 Participants
Industries
HEALTH
One of the biggest challenges young entrepreneurs face is a missing product-market fit.

 

Since 2019 Vision Health Pioneers Incubator has supported 40 first-time entrepreneurs and invested more than 1.5 million Euro in the development of digital health solutions that tackle real-life problems in healthcare. In 2022 and 2023, we are supporting 40 more entrepreneurs on their startup journey, investing 1.5 million Euro in shaping the future of digital health",visionhealthpioneers.de/
Healthcare Innovation World Cup,Global,"Grant,Award",https://www.innovationworldcup.com/healthcare/,10.0,"Healthcare Innovation World Cup® – Driving health tech innovations
Technology-driven innovations have brought great benefits to society and are reshaping healthcare in multiple ways. By 2030, healthcare will be centered on patients empowered to prevent diseases rather than seek treatment. All of this will be enabled by data and provided within a healthcare system that is organized and regulated in an entirely new way.
For 16 years the Innovation World Cup® Series has been the catalyst of health innovations worldwide. And for many innovators the Innovation World Cup® has been an important milestone to successfully scaling up their businesses and gain worldwide visibility.
The 15th Healthcare Innovation World Cup® is looking for the next generation of smart health devices, medical wearables, digital biomarkers, electroceuticals, intelligent patches, and more. HealthTech and MedTech innovators worldwide are invited to take part in free of charge.",innovationworldcup.com/healthcare/
Hello Tomorrow,Global,Award,https://hello-tomorrow.org/global-challenge/,100.0,"We welcome startups that are:

In the early-stage of development or the beginning of their commercialization phase (up to series A)
Based on a new technology, a scientific discovery or a complex engineering process
Addressing an industrial, societal or environmental unmet need or creating a new market
Composed of a team of at least 2 people
Not a subsidiary or spin-off of an existing company",hello-tomorrow.org/global-challenge/
Ennovation,Greece,Grant,https://acein.aueb.gr/en/ennovation-competition/,100.0,"Ennovation is an international student competition on Digital Entrepreneurship, Innovation and e-Business. The competition is organised by the Athens University of Economics and Business (ELTRUN, the eBusiness Centre), the International Hellenic University and the University of Nicosia. Run through the Ennovation Universities Network, the competition aims to educate students and young researchers in the field of innovation and digital entrepreneurship, as well as to promote young entrepreneurship in the fields of internet, mobile business, etc. Experts in the field help students to analyse and promote new entrepreneurial ideas and models for electronic businesses, along with new digital products/services. An additional aim is to generate a collaborative environment for the further development of new innovative digital enterprises.",acein.aueb.gr/en/ennovation-competition/
Hellenic Entrepreneurship Award,Greece,Grant,http://startupnation.gr/item/hellenic-entreprenership-award,700.0,"The eight HEA winners are benefiting from funding, mentoring and business support. The award programme aims to create opportunity for both experienced and budding entrepreneurs by providing winners with the resources they need to get a new business started. The Hellenic Entrepreneurship Award is funded and administered by the Libra Group on behalf of The Hellenic Initiative, a non-profit organization that is undertaking a number of economic development programmes designed to encourage entrepreneurship and investment in Greece. The Libra Group has committed over €7 million to the award.",startupnation.gr/item/hellenic-entreprenership-award
Innovation and Technology Competition,Greece,Competition,http://startupnation.gr/item/innovation-technology%E2%80%9D-competition,20.0,"An annual competition that has been run by National Bank of Greece since 2010

Innovation & Technology"" Competition is an annual competition that has been run by National Bank of Greece since 2010. It is part of the NBG Business Seeds integrated program designed to foster innovative and export-oriented entrepreneurship. The competition aims at reinforcing and supporting creativity, especially amongst young people, as well as at fostering a culture of innovation. The competition is held with the cooperation of 8 Greek Universities. Participation may be on an individual or a group basis. The competition’s scope includes the following areas: E-business, Environment and Technology, Culture and Technology. The top four winners will be awarded the following prizes: First Prize: €20,000 Second Prize: €10,000 Third Prize: €6,000 Fourth Prize: €4,000",startupnation.gr/item/innovation-technology%E2%80%9D-competition
Stelios Entrepreneurship Award,Greece,Grant,https://steliosfoundation.gr/vraveia-epicheirimatikotitas/,30.0,"The award is presented to a young entrepreneur man or woman. If a group of people have created a business and wishes to apply for the award, since they cover all the below preconditions, they can fill a group application. These preconditions are: The age of the candidate must be under 40 years of age. The entrepreneur man/woman must hold at least 50% of business shares. The entrepreneur man/woman must manage the business. The business must have been founded between 2008 and 2012. The business must employ no less than 5 employees in the last two years. The business must have turnover at least €300.000, the last year. The business must be based in Greece. Additionally, the winner/winners must be aware of the fact that they will be called, in the next few months, to give interviews to magazines etc. Furthermore the winner might be asked to participate in promotional projects for youth entrepreneurship. The candidates must know that throughout the process the literary property and other sensitive information that is related to their business will be protected. If you wish to apply please click on the button Application Form on the right-hand side. If you wish to suggest a company please click on the button Nomination Form on the right-hand side.",steliosfoundation.gr/vraveia-epicheirimatikotitas/
Innovation Center Iceland,Iceland,Grant,https://www.nmi.is/en,,"This aims to outline what your options are and how to identify, find and navigate the relevant information from the various different authorities you will need to deal with when starting your new business. It gives some basic guidance on business planning for startups, financial and legal requirements, and some useful resources to help you start your business.",nmi.is/en
RANNIS,Iceland,Grant,https://en.rannis.is/funding/,,"Administers the main public competitive funds in the fields of research, innovation, education and culture in Iceland.",en.rannis.is/funding/
Business Expansion Grants (LEO),Ireland,Grant,http://www.localenterprise.ie/Discover-Business-Supports/Financial-Supports/Business-Expansion-Grant/,150.0,"Business Expansion Grants are another of LEO’s funding programs for businesses and startups. Also, they are very similar to Priming Grants discussed above.

Yet, the only difference vs. Priming Grants is that this grant funding program aims to help businesses in growth stage incurred after the first 18 months of operations.

Like Priming Grants, the maximum amount that can be claimed under the Business Expansion Grants is €150,000. Again, funding cannot represent more than 50% of the costs (the rest must come from the business’ own funds).",localenterprise.ie/Discover-Business-Supports/Financial-Supports/Business-Expansion-Grant/
Competitive Start Fund (CSF),Ireland,Grant,http://www.enterprise-ireland.com/en/funding-supports/company/hpsu-funding/competitive-start-fund-csf-.html,50.0,"Competitive Start Fund is one of Enterprise Ireland’s grants for startups.

What Is Enterprise Ireland?
Enterprise Ireland is a government organisation that promotes Irish businesses and help them start, grow, innovate and export globally.

As such, Enterprise Ireland offers businesses various services: training programs, export finance solutions, R&D incentive programs and support to develop innovation and competitiveness.

Competitive Start Fund is an investment arm within Enterprise Ireland that aims to accelerate the growth of startup companies with strong potential.

Successful applicants may receive up to €50,000 in funding in return for 10% equity.

In order to apply, your business must have a Minimal Viable Product (MVP) as well as some early customer traction.",enterprise-ireland.com/en/funding-supports/company/hpsu-funding/competitive-start-fund-csf-.html
Disruptive Technologies Innovation Fund,Ireland,Grant,https://enterprise.gov.ie/en/what-we-do/innovation-research-development/disruptive-technologies-innovation-fund/,1500000.0,"The main eligibility criteria for DTIF Call 6 include: 

all projects should be seeking minimum funding of €1.5 million over three years
each project to have at least three independent partners seeking funding from DTIF, including at least one SME and one other enterprise partner
SMEs can claim up to 50% of their eligible costs, whereas large companies can claim up to 40% of their eligible costs
research organisations (including colleges) can claim up to 100% of the eligible costs but can receive no more than 50% of the total DTIF grant aid per project
to draw down funding under DTIF, project partners:
must be a current client of Enterprise Ireland, IDA Ireland or Údarás na Gaeltachta or an eligible Research Performing Organisation (RPO), and
must be based in Ireland
the type of eligible research to be carried out by all partners, must include “industrial research” and/or “experimental development”, that is, within Technology Readiness Levels 3-9
all company partners must provide financial information to demonstrate that they are not Undertakings in Difficulty (UiD) ",enterprise.gov.ie/en/what-we-do/innovation-research-development/disruptive-technologies-innovation-fund/
Feasibility grants (LEO),Ireland,Grant,http://www.localenterprise.ie/,15.0,"Feasibility Grants are one of the various funding programs for entrepreneurs and startups made available by the Local Enterprise Offices (LEO).

What Are Local Enterprise Offices (LEO)?
Local Enterprise Offices are local government organisations in Ireland that provide support for small businesses.

In total, there are 31 LEOs throughout the country. Each provides entrepreneurs advice, information and financial support to help them start and grow their business.

Feasibility Grants are grants that aims to assist early-stage businesses with researching market demand for a product or service.

Therefore, the funds must be spend against expenses incurred for feasibility analyses. For example they can be spent for market research, 3rd party consultancy costs, technical development and prototype, etc.

In total, businesses can claim a maximum of €15,000 and must cover 50% of the expenses themselves.",localenterprise.ie/
High Potential Start-Up (HPSU) Fund,Ireland,Grant,http://www.enterprise-ireland.com/en/Funding-Supports/Company/HPSU-Funding/Innovative-HPSU-fund.html,,"High Potential Start-Up (HPSU) Fund is another of Enterprise Ireland’s grant programs for startups.

High Potential Start-Ups (HPSUs) are defined as innovative early-stage businesses that have the potential to create at least 10 jobs and €1 million revenue within the first 3 years of operations.

Unlike standard funded grants, the funding doesn’t necessarily need to be spent against a specific element of a business plan (e.g. R&D) or milestone. Instead, companies can use the funding any way they like, as long as it goes in accordance with their business plan.

Yet, you will have to prove at least 15% of your expenses are R&D in order to be eligible for the grant.",enterprise-ireland.com/en/Funding-Supports/Company/HPSU-Funding/Innovative-HPSU-fund.html
New Frontiers Entrepreneur Development Programme,Ireland,"Grant,Accelerator",http://www.newfrontiers.ie/,25.0,"New Frontiers Entrepreneur Development Programme is one of Ireland’s top grants for startups. Since its inception in 2012, the program has helped over 500 founders build and scale their business.

Actually, New Frontiers is at the intersection of a standard grant funding program and a startup accelerator program. That’s why we also included in our top 5 picks of Ireland’s best startup accelerators.

New Frontiers runs a 3-phase program that lasts 6 to 9 months to test (phase 1), develop (phase 2) and implement (phase 3) an innovative business idea.

As part of the program, companies get access to mentors, perks and participate to workshops and events where they can find customers and potentially investors. Also, each business receive up to €25,000 in funding.",newfrontiers.ie/
Priming grants (LEO),Ireland,Grant,http://www.localenterprise.ie/,150.0,"Priming Grants are another of LEO’s funding programs for businesses and startups.

Unlike Feasibility Grants, this grant is more inclusive. Indeed it aims to help businesses finance general operation costs incurred within their first 18 months.

The maximum amount that can be claimed is €150,000.

Yet, businesses must cover at least 50% of the costs (incurred within the first 18 months).

Businesses can spend the grant for virtually any type of expense: salaries, capital investments, 3rd party contractor fees, marketing expenses, overheads, etc.",localenterprise.ie/
AION Labs,Israel,"Incubator,Credit",https://aionlabs.com/,100.0,"AION Labs is a first-of-its-kind alliance of global pharma and technology leaders and investors that have come together with one clear mission: to create and adopt gateway AI and computational technologies that will transform the process of drug discovery and development for the betterment of human health.

 

We invite brilliant inventors, scientists and technologists to solve the biggest R&D challenges of today’s pharma with the support and guidance of years of accumulated know-how, data, and experience of our partners.

 

Backed by our partners’ wealth of knowledge and fresh multidisciplinary approach, we combine the ingenuity, agility and innovative instinct of Israel’s start-up ecosystem to create and develop strong companies with disruptive technology which will pave the way to the future of pharma.

 

Our unique venture creation process eliminates the gap between technologies and markets with our built in product-market innovation model. ! As the winner, we will offer you a contract to start your own company in AION Labs.
You will be able to choose up to 2 co-founders from the boot camp who will join you. In addition,
your startup will receive funding in the amount of at least 500,000 USD per year for a period of up to
4 years, free access to our facilities in Rehovot, 100,000 USD cloud credits from AWS, and continuous
support from our experienced mentors. ",aionlabs.com/
GovTech,Israel,"Grant,Government ",http://innovationisrael.org.il/en/program/Gov-Tech,125.0,"Who is it for?
The program focuses on companies and NGOs that offer, or aims to offer, an innovative technological solution in the areas of education, health, welfare, economic, law and other public sector matters.

Examples of challenges can be improving public health, public access to information, etc. As long as you can prove your business is solving an issue within the public space, you are eligible.

How much can you get?
The amount you can receive depends on the size of the budget:

Under NIS 500,000: funding of 75% of total project costs
Between NIS 500,000 – NIS 1.5M: up to 60% of total project costs are funded with the grant. Also note that startups (businesses incorporated less than 5 years ago) can receive up to 75% in the first year, and 70% funding for the second year following the grant request approval.",innovationisrael.org.il/en/program/Gov-Tech
Incubator Program,Israel,Incubator,http://innovationisrael.org.il/en/program/incubators-incentive-program,867.0,"The Incubator Program is another of Israel’s top grant program for startups. Unlike other grants, this one is solely for entrepreneurs and startups that develop an innovative technological idea with the support of an approved incubator.

Who is it for?
To be eligible you must be an entrepreneur or early stage startup enlisted as part of an approved startup incubator and developing an innovative technological product, service or process.

How much can you get?
If successful, your startup can receive a grant of up to 85% of the approved budget of your application, with a maximum funding of NIS 3.5 million. The funding aims to cover for expenses for up to 2 years, after which an additional grant can be unlocked on a discretionary basis.

The other 15% will have to be funded by the incubator itself, therefore covering for 100% of your expected budget for the next 2 years.

Do you need to build an accurate and realistic budget for your startup? Read our article here.",innovationisrael.org.il/en/program/incubators-incentive-program
Innovation Labs,Israel,Grant,http://innovationisrael.org.il/en/program/innovation-labs-program,250.0,"Innovation Labs isn’t purely a grant funding program. Instead, it aims at supporting startups that need an infrastructure and equipment to assess the feasibility of a technological idea or product.

Therefore, successful applicants get access to unique infrastructure, insights, material and equipment from leading companies and research institutes in Israel. The aim of this collaboration is to help companies (not just startups) to develop technological ideas and turn them into a commercial product.

Who is it for?
The Innovation Labs program is opened for many types of businesses, from startups to small and medium companies.

To be eligible for the grant, you must prove you intend to use the grant funding and access to infrastructure and equipment purely for a proof-of-concept project (POC).

How much can you get?
In addition to unparalleled access to technological infrastructure and equipment, businesses receive funding required as part of the POC.

Yet, startups and entrepreneurs fortunately get better terms than larger businesses: funding is up to 85% of the approved POC budget, up to NIS 1 million. The grant funding aims to cover expenses for a period of one year maximum.",innovationisrael.org.il/en/program/innovation-labs-program
MassChallenge Accelerator,Israel,Accelerator,https://masschallenge.org/,,"A nonprofit, MassChallenge connects startups, experts, corporations, and communities to grow and transform businesses and economies. Our unique equity-free model allows us to accelerate high-impact startups with bold, disruptive ideas from non-traditional backgrounds.

 

We offer a variety of programs, accelerators, and partnerships throughout the year to those who share our vision of transformative innovation.",masschallenge.org/
